Month	WindDir [Degrees]
January	280
January	312
January	330
January	155
January	178
January	167
January	7
January	338
January	340
January	268
January	310
January	338
January	230
January	300
January	350
January	339
January	324
January	155
January	144
January	163
January	344
January	262
January	194
January	65
January	337
January	297
January	294
January	293
January	285
January	254
January	303
February	75
February	12
February	314
February	296
February	310
February	241
February	315
February	324
February	334
February	343
February	164
February	13
February	157
February	293
February	268
February	316
February	141
February	160
February	270
February	51
February	334
February	174
February	329
February	329
February	323
February	271
February	205
February	NA
February	353
March	338
March	125
March	356
March	27
March	192
March	174
March	166
March	308
March	291
March	341
March	181
March	149
March	190
March	228
March	314
March	306
March	323
March	319
March	324
March	253
March	194
March	51
March	20
March	337
March	165
March	332
March	213
March	153
March	135
March	3
March	316
April	310
April	278
April	284
April	88
April	223
April	320
April	323
April	348
April	151
April	331
April	17
April	174
April	193
April	177
April	164
April	105
April	345
April	323
April	194
April	326
April	335
April	175
April	159
April	221
April	320
April	33
April	344
April	330
April	40
April	32
May	14
May	285
May	299
May	338
May	197
May	193
May	63
May	84
May	127
May	216
May	305
May	302
May	350
May	334
May	195
May	89
May	350
May	186
May	186
May	154
May	141
May	155
May	255
May	173
May	242
May	83
May	15
May	295
May	178
May	197
May	319
June	317
June	203
June	258
June	327
June	310
June	346
June	166
June	157
June	175
June	189
June	163
June	188
June	68
June	245
June	100
June	136
June	170
June	-1
June	-1
June	59
June	159
June	326
June	117
June	149
June	118
June	158
June	65
June	148
June	256
June	356
July	118
July	99
July	106
July	186
July	124
July	77
July	295
July	125
July	143
July	161
July	230
July	155
July	331
July	330
July	121
July	149
July	69
July	93
July	176
July	168
July	197
July	37
July	199
July	24
July	154
July	150
July	345
July	2
July	32
July	152
July	131
August	109
August	123
August	154
August	1
August	352
August	116
August	108
August	160
August	140
August	158
August	116
August	349
August	330
August	153
August	145
August	127
August	122
August	175
August	356
August	324
August	184
August	170
August	173
August	354
August	7
August	121
August	157
August	148
August	162
August	134
August	96
September	129
September	154
September	157
September	139
September	182
September	52
September	179
September	125
September	252
September	269
September	171
September	345
September	22
September	119
September	177
September	292
September	228
September	187
September	58
September	168
September	170
September	5
September	134
September	198
September	312
September	310
September	320
September	10
September	130
September	129
October	137
October	136
October	140
October	273
October	217
October	351
October	261
October	324
October	147
October	158
October	350
October	336
October	175
October	172
October	116
October	167
October	308
October	303
October	351
October	291
October	171
October	150
October	350
October	136
October	134
October	334
October	164
October	219
October	1
October	158
October	190
November	27
November	352
November	305
November	233
November	163
November	153
November	30
November	331
November	166
November	340
November	352
November	186
November	274
November	261
November	324
November	159
November	358
November	324
November	117
November	161
November	140
November	11
November	347
November	196
November	235
November	226
November	172
November	280
November	309
November	315
December	315
December	309
December	176
December	227
December	234
December	308
December	321
December	313
December	127
December	131
December	329
December	332
December	252
December	324
December	150
December	39
December	339
December	206
December	209
December	216
December	313
December	209
December	216
December	141
December	139
December	288
December	212
December	306
December	301
December	292
December	287
